p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.85806584805e-05	0.00966580864927	Interleukin-10 signaling	Wikipathways	WP4063	CXCL1; IL1RN; IL1R2; CCL20	7850; 3557; 6364; 2919	38	38
0.000642050575447	0.0450726268871	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	Reactome	R-HSA-381771	SEC11C; SPCS3	60559; 90701	7	7
0.000852954555268	0.0450726268871	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	Reactome	R-HSA-400511	SEC11C; SPCS3	60559; 90701	8	8
0.00109266974272	0.0450726268871	Incretin synthesis, secretion, and inactivation	Reactome	R-HSA-400508	SEC11C; SPCS3	60559; 90701	9	9
0.00165725039931	0.0466198359148	Synthesis, secretion, and deacylation of Ghrelin	Reactome	R-HSA-422085	SEC11C; SPCS3	90701; 60559	11	11
0.00169526676054	0.0466198359148	Apoptosis Modulation and Signaling	Wikipathways	WP1772	CDKN2A; BIRC3; IL1R2; BIK	330; 7850; 638; 1029	91	91
0.00198148072247	0.0467063313153	Gap junction trafficking	Reactome	R-HSA-190828	DAB2; GJB2	1601; 2706	12	12
0.00233325192418	0.0481233209361	role of mitochondria in apoptotic signaling	BioCarta	mitochondriapathway	BIRC3; BIK	638; 330	13	13
0.0027122528728	0.0497246360013	Gap junction trafficking and regulation	Reactome	R-HSA-157858	DAB2; GJB2	1601; 2706	14	14
0.00327133051922	0.0539769535671	Post-translational protein phosphorylation	Reactome	R-HSA-8957275	EVA1A; STC2; FSTL3; IGFBP4	10272; 8614; 3487; 84141	110	109
0.00400956092877	0.0551314627706	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	Reactome	R-HSA-5676594	BIRC3; CD40	958; 330	17	17
0.00400956092877	0.0551314627706	Phenylalanine metabolism - Homo sapiens (human)	KEGG	path:hsa00360	IL4I1; ALDH1A3	259307; 220	17	17
0.00513633583118	0.0623326393888	Membrane Trafficking	Reactome	R-HSA-199991	BET1; GJB2; KIF1A; ARPC2; PRKAG2; DAB2; VAMP4; TBC1D17; PACSIN2	79735; 10282; 11252; 10109; 1601; 547; 51422; 2706; 8674	582	582
0.0054802200995	0.0623326393888	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome	R-HSA-381426	EVA1A; STC2; FSTL3; IGFBP4	10272; 8614; 3487; 84141	127	126
0.00590339791159	0.0623326393888	Metabolism of proteins	Reactome	R-HSA-392499	H2BFS; SEC11C; BET1; CDKN2A; SERP1; VARS; SEMA5A; SPCS3; EVA1A; RAD23A; BIRC3; FSTL3; PAM16; DAP3; SSR3; IGFBP4; ADORA2B; MRPL14; STC2; ST6GALNAC4	8614; 330; 60559; 10272; 7818; 1029; 10282; 6747; 27230; 5886; 136; 3487; 64928; 27090; 84141; 9037; 54145; 51025; 90701; 7407	2008	1999
0.00729850812658	0.0623326393888	Protein export - Homo sapiens (human)	KEGG	path:hsa03060	SEC11C; SPCS3	90701; 60559	23	23
0.00739962710388	0.0623326393888	Glucocorticoid Receptor Pathway	Wikipathways	WP2880	CCL20; BIRC3; DNER	330; 92737; 6364	71	71
0.00749156192721	0.0623326393888	Translation	Reactome	R-HSA-72766	SEC11C; MRPL14; VARS; SPCS3; DAP3; SSR3	7818; 6747; 60559; 90701; 64928; 7407	310	307
0.0075306116221	0.0623326393888	Clathrin-mediated endocytosis	Reactome	R-HSA-8856828	ARPC2; PACSIN2; VAMP4; DAB2	10109; 8674; 1601; 11252	138	138
0.00768591080175	0.0623326393888	Vesicle-mediated transport	Reactome	R-HSA-5653656	BET1; GJB2; KIF1A; ARPC2; PRKAG2; DAB2; VAMP4; TBC1D17; PACSIN2	79735; 10282; 11252; 10109; 1601; 547; 51422; 2706; 8674	620	620
0.00793324501313	0.0623326393888	Triglyceride catabolism	Reactome	R-HSA-163560	MGLL; GPD2	11343; 2820	24	24
0.00851615893241	0.0638711919931	Cell adhesion molecules (CAMs) - Homo sapiens (human)	KEGG	path:hsa04514	MPZL1; CD40; JAM2; ICAM2	958; 58494; 3384; 9019	144	143
